2018-06-11 19:45:10,084 p=11688 u=root |  PLAY [Initialization Checkpoint Start] *******************************************************************************************
2018-06-11 19:45:10,100 p=11688 u=root |  TASK [Set install initialization 'In Progress'] **********************************************************************************
2018-06-11 19:45:10,142 p=11688 u=root |  ok: [loadbalancer1.861b.internal]
2018-06-11 19:45:10,150 p=11688 u=root |  PLAY [Populate config host groups] ***********************************************************************************************
2018-06-11 19:45:10,156 p=11688 u=root |  TASK [Load group name mapping variables] *****************************************************************************************
2018-06-11 19:45:10,179 p=11688 u=root |  ok: [localhost]
2018-06-11 19:45:10,185 p=11688 u=root |  TASK [Evaluate groups - g_etcd_hosts or g_new_etcd_hosts required] ***************************************************************
2018-06-11 19:45:10,207 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,211 p=11688 u=root |  TASK [Evaluate groups - g_master_hosts or g_new_master_hosts required] ***********************************************************
2018-06-11 19:45:10,233 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,237 p=11688 u=root |  TASK [Evaluate groups - g_node_hosts or g_new_node_hosts required] ***************************************************************
2018-06-11 19:45:10,257 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,262 p=11688 u=root |  TASK [Evaluate groups - g_lb_hosts required] *************************************************************************************
2018-06-11 19:45:10,281 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,285 p=11688 u=root |  TASK [Evaluate groups - g_nfs_hosts required] ************************************************************************************
2018-06-11 19:45:10,303 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,308 p=11688 u=root |  TASK [Evaluate groups - g_nfs_hosts is single host] ******************************************************************************
2018-06-11 19:45:10,328 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,332 p=11688 u=root |  TASK [Evaluate groups - g_glusterfs_hosts required] ******************************************************************************
2018-06-11 19:45:10,353 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,357 p=11688 u=root |  TASK [Evaluate groups - Fail if no etcd hosts group is defined] ******************************************************************
2018-06-11 19:45:10,379 p=11688 u=root |  skipping: [localhost]
2018-06-11 19:45:10,383 p=11688 u=root |  TASK [Evaluate oo_all_hosts] *****************************************************************************************************
2018-06-11 19:45:10,438 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,444 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,451 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,459 p=11688 u=root |  ok: [localhost] => (item=infranode1.861b.internal)
2018-06-11 19:45:10,466 p=11688 u=root |  ok: [localhost] => (item=infranode2.861b.internal)
2018-06-11 19:45:10,474 p=11688 u=root |  ok: [localhost] => (item=node1.861b.internal)
2018-06-11 19:45:10,482 p=11688 u=root |  ok: [localhost] => (item=node2.861b.internal)
2018-06-11 19:45:10,488 p=11688 u=root |  ok: [localhost] => (item=node3.861b.internal)
2018-06-11 19:45:10,496 p=11688 u=root |  ok: [localhost] => (item=loadbalancer1.861b.internal)
2018-06-11 19:45:10,503 p=11688 u=root |  ok: [localhost] => (item=support1.861b.internal)
2018-06-11 19:45:10,511 p=11688 u=root |  TASK [Evaluate oo_masters] *******************************************************************************************************
2018-06-11 19:45:10,544 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,551 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,558 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,564 p=11688 u=root |  TASK [Evaluate oo_first_master] **************************************************************************************************
2018-06-11 19:45:10,594 p=11688 u=root |  ok: [localhost]
2018-06-11 19:45:10,599 p=11688 u=root |  TASK [Evaluate oo_new_etcd_to_config] ********************************************************************************************
2018-06-11 19:45:10,620 p=11688 u=root |  TASK [Evaluate oo_masters_to_config] *********************************************************************************************
2018-06-11 19:45:10,653 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,659 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,667 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,673 p=11688 u=root |  TASK [Evaluate oo_etcd_to_config] ************************************************************************************************
2018-06-11 19:45:10,703 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,710 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,718 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,724 p=11688 u=root |  TASK [Evaluate oo_first_etcd] ****************************************************************************************************
2018-06-11 19:45:10,754 p=11688 u=root |  ok: [localhost]
2018-06-11 19:45:10,759 p=11688 u=root |  TASK [Evaluate oo_etcd_hosts_to_upgrade] *****************************************************************************************
2018-06-11 19:45:10,787 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,792 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,797 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,803 p=11688 u=root |  TASK [Evaluate oo_etcd_hosts_to_backup] ******************************************************************************************
2018-06-11 19:45:10,831 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,836 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,842 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,848 p=11688 u=root |  TASK [Evaluate oo_nodes_to_config] ***********************************************************************************************
2018-06-11 19:45:10,882 p=11688 u=root |  ok: [localhost] => (item=master1.861b.internal)
2018-06-11 19:45:10,889 p=11688 u=root |  ok: [localhost] => (item=master2.861b.internal)
2018-06-11 19:45:10,895 p=11688 u=root |  ok: [localhost] => (item=master3.861b.internal)
2018-06-11 19:45:10,904 p=11688 u=root |  ok: [localhost] => (item=infranode1.861b.internal)
2018-06-11 19:45:10,911 p=11688 u=root |  ok: [localhost] => (item=infranode2.861b.internal)
2018-06-11 19:45:10,919 p=11688 u=root |  ok: [localhost] => (item=node1.861b.internal)
2018-06-11 19:45:10,925 p=11688 u=root |  ok: [localhost] => (item=node2.861b.internal)
2018-06-11 19:45:10,933 p=11688 u=root |  ok: [localhost] => (item=node3.861b.internal)
